UF;MUNICIPIO;POPULACAO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
RS;CERRO BRANCO;4639;2111;1116;0;61;22;187;27;0;0;9;568;41;16;0;29;27;0;2;0;4;1;1
RS;CERRO GRANDE;2465;1187;606;0;45;8;65;11;0;0;2;396;25;13;0;1;12;0;1;0;0;0;2
RS;CERRO GRANDE DO SUL;11012;5966;2472;0;267;26;340;65;1;3;21;2590;63;26;0;53;31;0;2;0;3;0;3
RS;CERRO LARGO;13872;8057;4411;0;372;255;625;158;0;5;11;1526;221;37;0;130;268;1;8;0;1;0;28
RS;CHAPADA;9631;6823;4031;0;351;137;556;129;0;0;45;1192;105;30;0;61;172;0;0;0;0;0;14
RS;CHARQUEADAS;37589;15078;9547;0;380;83;695;427;1;10;77;2699;319;117;0;501;139;1;6;0;34;2;40
RS;CHARRUA;3532;1307;768;0;98;6;142;34;1;0;4;222;6;11;0;6;6;0;0;0;0;0;3
RS;CHIAPETTA;4100;2033;1234;0;145;45;184;48;0;0;9;259;20;15;0;11;56;0;0;0;0;0;7
RS;CHUI;6269;3186;2037;0;114;101;192;91;0;4;11;289;111;8;0;80;130;0;4;0;0;0;14
RS;CHUVISCA;5201;2430;1327;0;125;27;147;25;0;0;6;672;24;34;0;10;30;0;1;0;0;0;2
RS;CIDREIRA;13844;3633;2144;0;111;4;193;98;0;3;10;758;90;33;0;164;3;0;5;0;5;5;7
RS;CIRIACO;5029;2956;1905;0;151;18;249;64;0;0;15;450;37;20;0;26;14;0;2;0;0;0;5
RS;COLINAS;2497;1739;941;0;71;33;100;47;0;2;9;339;60;9;0;49;62;0;1;0;14;0;2
RS;COLORADO;3572;2400;1262;0;216;10;424;45;0;0;16;320;43;13;0;22;22;0;1;0;0;0;6
RS;CONDOR;6791;3696;2226;0;259;24;426;97;0;0;18;493;44;27;0;40;29;0;2;0;1;1;9
RS;CONSTANTINA;10077;6090;3817;0;353;54;554;114;0;1;21;819;127;82;0;62;68;0;4;0;1;1;12
RS;COQUEIRO BAIXO;1567;717;436;0;17;0;70;15;0;2;4;135;17;5;0;2;0;0;0;0;10;0;4
