UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
AM;GUAJARA;135;33;0;0;0;49;2;0;0;0;39;6;5;0;0;0;0;0;0;0;0;1
AM;HUMAITA;5108;784;0;142;22;304;44;0;4;5;2286;1439;16;0;10;28;0;0;0;1;14;9
AM;IPIXUNA;26;5;0;2;0;9;2;0;0;0;5;0;3;0;0;0;0;0;0;0;0;0
AM;IRANDUBA;4536;1140;0;243;9;537;157;2;16;28;1892;353;86;0;12;39;0;0;0;1;9;12
AM;ITACOATIARA;19759;2621;0;387;33;808;155;0;19;36;9149;6273;144;0;22;63;0;1;0;0;41;7
AM;ITAMARATI;233;3;0;5;0;15;3;0;0;0;173;34;0;0;0;0;0;0;0;0;0;0
AM;ITAPIRANGA;546;102;0;15;3;42;2;0;0;1;293;75;6;0;0;4;0;0;0;0;3;0
AM;JAPURA;174;2;0;5;0;9;2;0;0;0;126;29;1;0;0;0;0;0;0;0;0;0
AM;JURUA;326;2;0;8;0;17;1;0;0;0;225;68;4;0;0;0;0;0;0;0;1;0
AM;JUTAI;467;3;0;3;0;20;0;0;1;0;371;69;0;0;0;0;0;0;0;0;0;0
AM;LABREA;1465;104;0;28;0;96;12;0;0;1;873;340;5;0;0;0;0;0;0;0;4;2
AM;MANACAPURU;12429;2252;0;318;16;878;285;0;3;74;6052;2333;92;0;4;67;0;1;0;0;37;17
AM;MANAQUIRI;385;44;0;11;0;46;9;0;1;5;221;30;8;0;0;0;0;0;0;0;10;0
AM;MANAUS;603492;321171;0;16632;2630;66361;23839;34;1368;2958;129282;12620;7884;0;2015;11541;6;66;0;61;698;4326
AM;MANICORE;1452;77;0;40;2;88;8;0;1;1;719;498;13;0;1;1;0;0;0;0;1;2
AM;MARAA;365;6;0;5;0;15;5;0;0;0;239;93;0;0;0;0;0;0;0;0;2;0
AM;MAUES;3996;285;0;37;0;152;43;0;6;2;2197;1247;16;0;1;0;0;0;0;0;7;3
AM;NHAMUNDA;405;7;0;7;0;5;3;0;0;0;240;142;1;0;0;0;0;0;0;0;0;0
AM;NOVA OLINDA DO NORTE;910;36;0;18;0;41;7;0;1;6;515;273;8;0;1;0;0;0;0;0;3;1
AM;NOVO AIRAO;1040;240;0;28;18;87;24;0;0;9;514;104;11;0;0;0;0;0;0;0;3;2
AM;NOVO ARIPUANA;613;24;0;22;0;31;0;0;0;2;410;116;7;0;1;0;0;0;0;0;0;0
AM;PARINTINS;15003;1173;0;150;3;334;86;0;3;7;7726;5447;24;0;0;7;0;3;0;0;33;7
AM;PAUINI;122;9;0;3;0;9;3;0;0;1;77;18;1;0;0;0;0;0;0;0;1;0
AM;PRESIDENTE FIGUEIREDO;5026;1446;0;262;58;650;172;0;3;49;1750;366;76;0;37;137;0;0;0;1;4;15
AM;RIO PRETO DA EVA;3009;618;0;151;7;425;76;0;8;17;1414;199;69;0;2;8;0;0;0;0;2;13
AM;SANTA ISABEL DO RIO NEGRO;322;10;0;8;0;19;6;0;0;2;186;86;3;0;0;0;0;0;0;0;1;1
AM;SANTO ANTONIO DO ICA;728;6;0;6;0;19;3;0;0;0;540;154;0;0;0;0;0;0;0;0;0;0
AM;SAO GABRIEL DA CACHOEIRA;2680;1104;0;73;1;293;62;0;0;11;662;433;26;0;6;0;0;1;0;0;5;3
AM;SAO PAULO DE OLIVENCA;833;10;0;5;0;17;6;0;0;0;619;170;5;0;0;0;0;0;0;0;1;0
AM;SAO SEBASTIAO DO UATUMA;211;10;0;6;0;3;0;0;0;0;157;31;0;0;0;0;0;0;0;0;4;0
AM;SILVES;281;38;0;11;0;21;10;0;0;5;153;38;3;0;0;0;0;0;0;0;2;0
AM;TABATINGA;6202;725;0;62;0;152;86;0;3;8;3059;2083;4;0;2;0;0;1;0;0;12;5
AM;TAPAUA;407;22;0;3;0;23;5;0;1;0;236;113;2;0;0;0;0;0;0;0;2;0
AM;TEFE;9069;774;0;71;2;303;57;0;1;18;5234;2531;11;0;6;3;1;0;0;0;52;5
AM;TONANTINS;399;2;0;4;0;9;3;0;0;0;277;102;1;0;0;0;0;0;0;0;1;0
AM;UARINI;392;3;0;9;0;9;2;0;0;0;311;53;2;0;0;0;0;0;0;0;3;0
AM;URUCARA;632;24;0;15;0;43;2;0;0;4;378;160;2;0;0;0;0;0;0;0;4;0
AM;URUCURITUBA;474;14;0;6;0;15;5;0;1;0;326;98;2;0;0;0;0;0;0;0;7;0
AP;AMAPA;506;198;0;10;0;31;16;0;4;1;208;35;2;0;0;0;0;0;0;0;1;0
AP;CALCOENE;551;148;0;20;0;35;9;0;0;2;300;29;3;0;4;0;0;0;0;0;0;1
AP;CUTIAS;139;45;0;3;0;8;5;0;0;2;67;9;0;0;0;0;0;0;0;0;0;0
AP;FERREIRA GOMES;484;233;0;5;0;41;14;0;0;3;158;19;4;0;1;0;0;0;0;0;0;6
AP;ITAUBAL;102;22;0;5;0;4;3;0;1;0;61;1;5;0;0;0;0;0;0;0;0;0
AP;LARANJAL DO JARI;3935;1069;0;97;0;181;71;0;8;9;1948;513;13;0;3;5;0;0;0;0;6;12
AP;MACAPA;126662;55019;0;2812;193;14603;3100;13;601;328;40119;7073;709;0;811;407;30;9;0;4;161;670
AP;MAZAGAO;819;302;0;52;1;47;21;0;10;18;299;46;19;0;0;2;0;0;0;0;2;0
AP;OIAPOQUE;2370;721;0;65;5;186;32;0;52;5;1059;201;19;0;3;10;0;0;0;0;2;10
AP;PEDRA BRANCA DO AMAPARI;578;219;0;34;0;57;37;0;0;6;177;23;17;0;4;2;0;0;0;0;1;1
AP;PORTO GRANDE;1562;559;0;40;2;84;66;0;7;5;669;98;15;0;6;8;0;0;0;0;1;2
AP;PRACUUBA;86;32;0;5;0;7;4;0;0;1;33;1;2;0;1;0;0;0;0;0;0;0
AP;SANTANA;20863;8226;0;622;70;1990;431;1;91;44;6886;1764;146;0;112;386;20;0;0;1;21;52
AP;SERRA DO NAVIO;412;221;0;10;0;23;33;0;0;3;102;16;3;0;1;0;0;0;0;0;0;0
AP;TARTARUGALZINHO;403;109;0;19;0;23;16;0;1;5;210;15;3;0;1;0;0;0;0;0;0;1
AP;VITORIA DO JARI;244;72;0;2;0;17;1;0;0;0;118;29;4;0;0;1;0;0;0;0;0;0
