UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
PE;IBIRAJUBA;1248;394;0;53;1;74;13;0;1;10;585;100;6;0;5;6;0;0;0;0;0;0
PE;IGARASSU;23551;12478;0;895;213;1168;1348;0;9;114;5602;290;713;0;407;257;1;0;0;1;7;48
PE;IGUARACI;2047;649;0;124;1;145;22;0;0;30;1002;38;26;0;7;0;0;0;0;0;1;2
PE;ILHA DE ITAMARACA;3718;1962;0;98;1;240;311;0;0;15;940;37;16;0;65;22;0;0;0;0;1;10
PE;INAJA;2336;565;0;69;0;254;20;0;0;11;1326;64;9;0;9;0;0;1;0;0;6;2
PE;INGAZEIRA;771;229;0;28;0;40;4;0;0;12;423;25;6;0;4;0;0;0;0;0;0;0
PE;IPOJUCA;17774;8955;0;704;310;878;755;7;4;310;4475;162;217;0;483;362;6;0;0;1;46;99
PE;IPUBI;5772;1114;0;253;34;340;27;0;0;15;3718;153;36;0;23;45;0;0;0;0;0;14
PE;ITACURUBA;598;215;0;29;0;60;9;0;0;2;262;9;7;0;3;0;0;0;0;0;2;0
PE;ITAIBA;4663;966;0;131;2;382;38;0;0;38;2931;128;16;0;24;2;0;0;0;0;1;4
PE;ITAMBE;13611;3057;0;417;13;601;171;0;1;40;7564;1490;130;0;95;16;0;1;0;0;3;12
PE;ITAPETIM;2968;864;0;83;0;187;19;0;0;8;1641;138;10;0;12;1;0;2;0;0;1;2
PE;ITAPISSUMA;3348;1771;0;118;59;179;255;0;3;34;704;36;28;0;43;113;0;0;0;1;0;4
PE;ITAQUITINGA;2250;731;0;39;0;94;91;0;0;9;1163;71;39;0;10;2;0;0;0;0;0;1
PE;JABOATAO DOS GUARARAPES;176552;96111;0;5555;1443;8644;7223;22;102;809;48371;1342;2221;0;1745;1905;3;8;0;8;113;927
PE;JAQUEIRA;1469;469;0;60;0;79;34;0;0;6;698;76;30;0;15;1;0;0;0;0;0;1
PE;JATAUBA;3100;593;0;130;9;392;21;0;0;185;1643;88;11;0;12;8;0;0;0;0;0;8
PE;JATOBA;1824;608;0;47;2;109;18;0;0;18;849;134;12;0;22;3;0;0;0;0;1;1
PE;JOAO ALFREDO;6142;1835;0;221;5;634;145;0;0;617;2494;140;15;0;18;11;0;0;0;0;0;7
PE;JOAQUIM NABUCO;1979;691;0;90;0;63;22;0;2;21;862;80;50;0;84;5;0;1;0;0;4;4
PE;JUCATI;2152;702;0;139;5;131;7;0;0;27;994;100;24;0;8;15;0;0;0;0;0;0
PE;JUPI;3648;1378;0;199;5;230;31;0;0;36;1472;218;36;0;16;20;0;0;0;0;1;6
PE;JUREMA;2092;772;0;80;0;171;24;0;0;35;849;136;13;0;6;5;0;0;0;0;0;1
PE;LAGOA DO CARRO;2539;981;0;101;1;152;169;0;1;13;1023;58;15;0;16;0;0;0;0;0;1;8
PE;LAGOA DO ITAENGA;4810;1288;0;473;12;219;135;0;1;36;2283;103;62;0;174;16;0;0;0;1;2;5
PE;LAGOA DO OURO;2117;391;0;57;1;144;6;0;0;32;1406;53;16;0;2;8;0;0;0;0;1;0
PE;LAGOA DOS GATOS;2796;814;0;101;1;218;48;0;0;32;1317;212;7;0;39;6;0;0;0;0;1;0
PE;LAGOA GRANDE;3552;898;0;159;4;296;26;0;0;10;1980;106;16;0;39;11;0;0;0;0;6;1
PE;LAJEDO;12972;5121;0;561;26;928;195;0;1;102;4377;1365;51;0;98;112;0;1;0;0;7;27
PE;LIMOEIRO;15585;5053;0;515;41;824;733;2;10;143;7211;726;65;0;148;63;0;0;0;0;4;47
PE;MACAPARANA;6826;1707;0;182;0;407;89;0;0;16;4033;286;44;0;43;3;0;0;0;0;5;11
PE;MACHADOS;2679;758;0;131;1;184;64;0;0;35;1411;41;17;0;12;21;0;0;0;0;2;2
PE;MANARI;1851;358;0;63;0;157;16;0;0;19;1187;25;10;0;11;1;0;0;0;0;0;4
PE;MARAIAL;1755;446;0;131;1;83;28;0;1;15;843;100;22;0;66;17;0;0;0;0;1;1
PE;MIRANDIBA;2264;650;0;132;5;204;20;0;1;8;1179;34;7;0;5;14;0;0;0;0;2;3
PE;MOREILANDIA;1703;352;0;74;1;158;11;0;0;4;1073;15;10;0;3;0;0;0;0;0;0;2
PE;MORENO;14832;6914;0;657;83;821;489;0;2;180;5024;107;214;0;126;115;0;0;0;39;5;56
PE;NAZARE DA MATA;6116;2855;0;258;12;345;193;0;3;23;2050;187;57;0;89;23;0;0;0;1;1;19
PE;OLINDA;130613;76654;0;3088;332;6199;4439;21;67;425;34675;912;1460;0;1214;517;13;6;0;2;53;536
